
"""^BVSP"","
PETR4.SA
WEGE3.SA
BBAS3.SA
EQTL3.SA
IVVB11.SA
UGPA3.SA
BBSE3.SA
RRRP3.SA
LAVV3.SA
TOTS3.SA
BGIP4.SA
JALL3.SA
MRFG3.SA
JHSF3.SA
CMIN3.SA
ITUB4.SA
RANI3.SA
GOAU4.SA
CSMG3.SA
APER3.SA
HBTS5.SA
EUCA3.SA
EPAR3.SA
CLSC3.SA
BAZA3.SA
DEXP3.SA
CEBR5.SA
BNBR3.SA
RAPT3.SA
NEOE3.SA
SAPR3.SA
CAMB3.SA
CEBR3.SA
TECN3.SA
ENGI4.SA
PFRM3.SA
BEES3.SA
RANI3.SA
BGIP4.SA
SMTO3.SA
LEVE3.SA
EKTR4.SA
LOGG3.SA
HBOR3.SA
CEEB5.SA
BRSR3.SA
CCRO3.SA
ITSA3.SA
TRPL3.SA
POMO3.SA
SHUL4.SA
BMEB3.SA
REDE3.SA
PTNT3.SA
BMGB4.SA
PLPL3.SA
VBBR3.SA
JSLG3.SA
MELK3.SA
EVEN3.SA
PRNR3.SA
VULC3.SA
CYRE3.SA
BPAC3.SA
GRND3.SA
TIMS3.SA
CURY3.SA
CXSE3.SA
TGMA3.SA
VIVT3.SA
SOJA3.SA
TRIS3.SA
BPAN4.SA
VLID3.SA
PSSA3.SA
DIRR3.SA
SBSP3.SA
PORT3.SA
FRAS3.SA
GGPS3.SA
VIVA3.SA
MTRE3.SA
ECOR3.SA
PINE4.SA
